Now the first column is url which is missing 404, second column is Anchor text and third column is Linked From
keep in mind that https://alpine-academy-frontend.vercel.app/ is baseUrl of project, you need to fix each 404 link on these page , only need to fix these links please

URL	Anchor Text	Linked From
https://alpine-academy-frontend.vercel.app/fr/group-ski-lessons-children-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-groupe-enfants-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-grup-nens-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-groupe-enfants-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/cours-ski-groupe-enfants-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-groupe-enfants-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/aulas-esqui-grupo-criancas-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-groupe-enfants-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/group-ski-lessons-children-baqueira.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-grupo-criancas-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-grup-nens-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-grupo-criancas-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/cours-ski-groupe-enfants-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-grupo-criancas-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/aulas-esqui-grupo-criancas-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-grupo-criancas-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-particulars-adults-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-adults-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-particuliers-adultes-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-adults-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-particulares-adultos-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-adults-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/private-ski-lessons-adults-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-adultes-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-particulars-adults-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-adultes-baqueira.html
